"","ename","inttime","survey","cluster","eanum","hhnum","hhid","intdate","burnyn","whatburn","whatburnother","spray","closewindow","closetime","airbricks","scrairbricks","sdoors","ceiling","result","otherresult","totvisit","nonanophfem","nonanophmal","gambiaef","gambiaem","funestusf","funestusm","othanophfem","othanophmal"
"335","NYANGABAKYE FRANCIS","2018-07-27 09:03:24.000",3,52,9,50,305209050,"2018-07-30 00:00:00.000","Yes","Coil","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"336","NYANGABAKYE FRANCIS","2018-07-28 09:32:47.000",3,52,10,97,305210097,"2018-07-27 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,3,0,0,0,0,0
"337","NYANGABAKYE FRANCIS","2018-07-30 07:12:36.000",3,55,1,4,305501004,"2018-08-04 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"338","NYANGABAKYE FRANCIS","2018-07-27 08:05:56.000",3,55,2,10,305502010,"2018-08-04 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"339","NYANGABAKYE FRANCIS","2018-08-04 08:00:36.000",3,55,3,104,305503104,"2018-08-01 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"340","NYANGABAKYE FRANCIS","2018-08-04 09:02:31.000",3,55,4,55,305504055,"2018-08-04 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"341","NYANGABAKYE FRANCIS","2018-08-01 09:19:23.000",3,55,5,58,305505058,"2018-08-01 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"342","NYANGABAKYE FRANCIS","2018-08-04 06:46:38.000",3,55,6,81,305506081,"2018-08-02 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,1,2,0,1,0,0
"343","NYANGABAKYE FRANCIS","2018-08-01 08:31:26.000",3,55,7,5,305507005,"2018-08-02 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,1,0,0,0
"344","NYANGABAKYE FRANCIS","2018-08-02 08:45:16.000",3,55,8,26,305508026,"2018-08-03 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"345","NYANGABAKYE FRANCIS","2018-08-02 07:36:32.000",3,55,9,108,305509108,"2018-08-03 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"346","NYANGABAKYE FRANCIS","2018-08-03 07:11:10.000",3,55,10,67,305510067,"2018-08-01 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"347","ODOL WILFRRED","2018-08-03 08:05:34.000",3,56,1,29,305601029,"2018-07-21 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,1,0,0,0,0,0,0
"348","ODOL WILFRED","2018-08-01 07:30:18.000",3,56,2,40,305602040,"2018-07-18 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"349","ODOL WILFRED","2018-07-21 07:50:25.000",3,56,3,100,305603100,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
