X,Y,id,hhid3,area,perimeter,Net_main,net_pbo,dname2019,ADM4_EN
34.388779971877,1.05608418299292,12,10308,0.000002,0.007055,2,2,BUDUDA,Bushiyi
34.3564125822934,1.15699552133781,172,8708,0.000002,0.007544,4,2,SIRONKO,Busulani
34.3028629307148,1.25185722488101,177,8703,0.000003,0.007375,4,2,SIRONKO,Butandiga
34.3282944065971,1.1396513446892,166,8804,0.000009,0.011507,1,1,SIRONKO,Buteza
34.2568624440579,1.14974112200393,165,8805,0.000006,0.009916,1,1,SIRONKO,Buwalasi
34.2613934139144,1.14535668905641,164,8806,0.000008,0.013517,1,1,SIRONKO,Buwasa
34.29778897569,1.16111795137081,163,8807,0.000009,0.012073,1,1,SIRONKO,Buyobo
34.3848105346428,1.38146287089644,159,8901,0.000006,0.018952,2,2,KAPCHORWA,Chema
34.4675642105339,1.35327481740746,152,8908,0.000005,0.013096,2,2,KAPCHORWA,Eastern Division
34.1629278025811,1.08138110337259,56,9904,0.000000,0.002440,1,1,MBALE,Industrial Divison
34.1540050160156,1.08035359932252,57,9903,0.000000,0.002711,1,1,MBALE,Industrial Divison
34.1561342939812,1.08174337235143,58,9902,0.000001,0.003692,1,1,MBALE,Industrial Divison
34.1663433681958,1.0735412571003,59,9901,0.000009,0.013160,1,1,MBALE,Industrial Divison
34.0936932205698,1.1942440317762,45,10005,0.000018,0.018702,2,2,BUKEDEA,Kachumbala
34.1305596688406,1.22659964276921,46,10004,0.000183,0.057506,2,2,BUKEDEA,Kachumbala
34.1057626425402,1.28719887486552,47,10003,0.000016,0.016778,2,2,BUKEDEA,Kachumbala
34.3184960921874,1.28636536314905,97,9503,0.000000,0.003165,1,1,BULAMBULI,Kamu
34.2107803890187,1.24547329015332,42,10008,0.000122,0.047077,2,2,BUKEDEA,Kolir
34.2141028446803,1.40769261061378,43,10007,0.000113,0.055976,2,2,BUKEDEA,Kolir
34.3520609498525,1.2569807604479,93,9507,0.000000,0.003119,1,1,BULAMBULI,Lusha
34.3916766224444,1.13464695031788,171,8709,0.000005,0.010890,4,2,SIRONKO,Masaba
34.39236489067,1.27585698654341,92,9508,0.000010,0.013530,1,1,BULAMBULI,Masiira
34.1777667053714,1.12062918228507,75,9705,0.000011,0.016238,2,2,MBALE,Nakaloke
34.1582196718274,1.14436214740136,73,9707,0.000014,0.016447,2,2,MBALE,Nakaloke Town Council
34.1715019271622,1.11674650725825,74,9706,0.000008,0.011403,2,2,MBALE,Nakaloke Town Council
34.2701151282147,1.16822263680165,162,8808,0.000002,0.007852,1,1,SIRONKO,Nalusala
34.1835073121953,1.11035404093507,71,9709,0.000014,0.018718,2,2,MBALE,Namanyonyi
34.1986166760187,1.09134846342404,72,9708,0.000025,0.019969,2,2,MBALE,Namanyonyi
